hospital_name,facility_type,district,latitude,longitude,ownership_type,ownership_encoded,tier,tier_encoded,specialties,opd_fee_npr,emergency_available,bed_capacity,rating,ambulance_service,parking_available,phone
Basic Health Centre 07,clinic,Morang,26.6672471932013,87.7077340313513,Private,2,Standard,1,Gastroenterology,620,False,0,3.6,True,True,
Kolhabi Primary Health Post,clinic,Kathmandu,27.0766931887627,85.1810199647125,Private,2,Standard,1,Dermatology,1211,False,0,3.3,False,True,
Pokhara Healthy Homes,clinic,Pokhara,28.243412368638,83.9886461261559,Private,2,Budget,0,Infectious Disease,308,False,0,2.5,False,True,
Nepal Pariwar Niyojan Sangh Palhinandan-1Rampurawa,hospital,Biratnagar,27.4371184618041,83.7009200330044,Private,2,Standard,1,"Urology, Pulmonology, Cardiology, General Surgery",966,False,152,3.6,True,True,
Aadharbhut Health Post,clinic,Pokhara,27.6214313996287,84.1251067787629,Private,2,Standard,1,"General Medicine, Infectious Disease",984,False,0,3.9,True,False,
Partappur Health Post,hospital,Sarlahi,28.6108238741556,81.0728153642746,Private,2,Premium,2,"General Medicine, Orthopedics, Dermatology, Neurology, General Surgery, Gastroenterology",1066,True,446,4.1,True,True,
Khalidada Municipal Health Center,clinic,Sunsari,29.5998366484686,80.7453932482456,Private,2,Standard,1,"Gastroenterology, Infectious Disease",1264,False,0,3.4,True,False,
Madi Healthpost,hospital,Tanahu,,,Private,2,Premium,2,"General Surgery, Orthopedics, Infectious Disease, Urology, Cardiology, Dermatology",1321,True,435,3.7,True,True,
mhf,hospital,Kathmandu,,,Private,2,Premium,2,"Neurology, Infectious Disease, General Surgery, Endocrinology, General Medicine, Pulmonology",2933,True,245,3.8,False,True,
Dolakha Samudayik Hospital,hospital,Butwal,27.6658832305478,86.0461969927975,Private,2,Premium,2,"Endocrinology, Orthopedics, Infectious Disease, Pulmonology, Urology, General Surgery",2144,True,419,3.5,True,True,
Bharta Community Health are Center,clinic,Kathmandu,29.1065972697958,81.556109363375,Private,2,Standard,1,"Gastroenterology, Dermatology, Infectious Disease",878,True,0,4.2,False,True,
चाबेनेटा सामुदायिक सहरी स्वास्थ्य केन्द्र शिनपा -११,hospital,Pokhara,27.7930850652714,82.8675689236312,Private,2,Premium,2,"Pulmonology, Dermatology, Urology, Orthopedics, Cardiology, General Surgery",2887,True,182,3.6,True,True,
my life healthj center,clinic,Kathmandu,27.7403189731373,85.312371092964,Private,2,Standard,1,Gastroenterology,1474,False,0,3.8,False,False,
Shreemati Raj Kumari Clinice,clinic,Hetauda,27.0304564315627,85.0020141965202,Private,2,Standard,1,Gastroenterology,621,False,0,3.4,False,True,
विष्णुपुर स्वास्थ्य केन्द्र,clinic,Kathmandu,26.7901782806198,86.4223716942639,Private,2,Budget,0,"General Medicine, Dermatology, Infectious Disease",508,False,0,3.5,False,False,
